"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_1_length_85347_cov_16.578410_1",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_2",169.620362111775,0.366285223680928,0.210371875183414,1.74113209459002,0.0816604267480536,0.294087475536184
"NODE_1_length_85347_cov_16.578410_3",101.921694156819,0.652499490621709,0.231015833769508,2.82447951716041,0.00473574750964177,0.0375661025682456
"NODE_1_length_85347_cov_16.578410_4",4.22029006075183,-0.381283269611926,1.2797407932097,-0.297937888387253,0.765750569626718,0.910759794902544
"NODE_1_length_85347_cov_16.578410_5",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_6",9.88940184466549,0.423703036640587,0.868754812690726,0.487713023802751,0.625753125460996,0.85523738265532
"NODE_1_length_85347_cov_16.578410_7",43.1576037881345,0.216130832140718,0.373218280672962,0.579100337076215,0.562521472619495,0.829822576796222
"NODE_1_length_85347_cov_16.578410_8",18.9680305897745,-0.233903197478319,0.566547600712329,-0.412857096533863,0.679711316237467,0.879003515535035
"NODE_1_length_85347_cov_16.578410_9",3.20856897468868,0.273093171845427,1.53121726349779,0.178350374147164,0.858447820067774,0.946983412134492
"NODE_1_length_85347_cov_16.578410_10",8.15594360180345,0.44389903113602,0.826761223104522,0.536913220807769,0.591327558265024,0.840866546827933
"NODE_1_length_85347_cov_16.578410_11",17.1587664970312,-0.44113494905871,0.616229026477053,-0.715862009260834,0.474076558728628,0.771175212931874
"NODE_1_length_85347_cov_16.578410_12",10.8885101221417,-0.214499646999157,0.685615689033365,-0.312856969917908,0.754389330599527,0.908034574424044
"NODE_1_length_85347_cov_16.578410_13",18.0709047571091,0.92375035358928,0.592861568683918,1.55812149476967,0.119204450201371,0.374662536523681
"NODE_1_length_85347_cov_16.578410_14",9.89668489728404,0.782413420342878,0.752401743743972,1.03988783498768,0.298392014894195,0.624405715652129
"NODE_1_length_85347_cov_16.578410_15",1.39068418257568,0.711975769860383,2.19985051539473,0.323647340979726,0.74620504243898,NA
"NODE_1_length_85347_cov_16.578410_16",10.0864493733683,-1.09039628579456,0.767262615748669,-1.42115132864983,0.155272770665379,0.431348860104022
"NODE_1_length_85347_cov_16.578410_17",0.82416105535117,-0.684200656855044,2.53931068011476,-0.26944346046862,0.787588445706817,NA
"NODE_1_length_85347_cov_16.578410_18",76.6690416451314,0.0518871790944037,0.27535811079951,0.188435266873919,0.850535455878033,0.944494515694818
"NODE_1_length_85347_cov_16.578410_19",84.7689115687705,-0.144211413793249,0.282984829181929,-0.509608286105461,0.610325917593661,0.849586381385799
"NODE_1_length_85347_cov_16.578410_20",9.65592765057627,-0.670707846292023,0.79546211986858,-0.843167549452678,0.399134744367692,0.718980095073115
"NODE_1_length_85347_cov_16.578410_21",5.98433946204065,0.965036030273642,0.990930151260616,0.973868873649638,0.330121650377826,0.65846551224906
"NODE_1_length_85347_cov_16.578410_22",83.4619681032902,0.219776955190412,0.27863451690893,0.788764283867403,0.430249788072034,0.742498863234149
"NODE_1_length_85347_cov_16.578410_23",94.2052653096773,-0.200122354092965,0.291819053312334,-0.685775489370715,0.492854694884845,0.786835330195798
"NODE_1_length_85347_cov_16.578410_24",2.83021828422826,0.845044283545426,1.32496037497475,0.637788344094088,0.523611468055551,0.808591795602143
"NODE_1_length_85347_cov_16.578410_25",6.69850690274793,0.128400950739678,0.892649007775498,0.143842596161795,0.885624765745748,0.957106117333329
"NODE_1_length_85347_cov_16.578410_26",2.36201982377709,1.23487832634332,1.55715060762437,0.793037179767271,0.427756161332339,0.741792213091439
"NODE_1_length_85347_cov_16.578410_27",3.61223124690068,0.437227060399186,1.18465164233847,0.369076481872859,0.712070718130992,0.895777890763092
"NODE_1_length_85347_cov_16.578410_28",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_29",6.96493889153955,0.347504415761933,0.969334523452289,0.3584979254884,0.719970720082001,0.897865583319046
"NODE_1_length_85347_cov_16.578410_30",0.502055138329355,-0.878341292364729,3.54007763115478,-0.248113568085289,0.804046537976302,NA
"NODE_1_length_85347_cov_16.578410_31",2.01734654978127,-0.538687832462656,1.53570806618662,-0.350774892913269,0.725757234389382,0.900149273628914
"NODE_1_length_85347_cov_16.578410_32",11.1336304282743,-0.600734610552777,0.815882347673995,-0.736300536793589,0.461547819613252,0.764896624793041
"NODE_1_length_85347_cov_16.578410_33",2.6397412038563,2.82454786287929,1.70594830496542,1.65570542475292,0.0977814882034693,0.330905254642729
"NODE_1_length_85347_cov_16.578410_34",88.8800300438984,0.705188209055142,0.298536093480297,2.36215393868843,0.0181690958890693,0.103531593734756
"NODE_1_length_85347_cov_16.578410_35",20.131500066306,-0.214915917224079,0.540886619896357,-0.397340051164993,0.691116716551091,0.885766761278733
"NODE_1_length_85347_cov_16.578410_36",94.5857536663373,0.0986371731820449,0.253767521887544,0.388691084061401,0.697504678652546,0.888488102569315
"NODE_1_length_85347_cov_16.578410_37",85.1431141596691,-0.269009818911947,0.258627372724493,-1.04014442121141,0.298272808471215,0.624405715652129
"NODE_1_length_85347_cov_16.578410_38",47.7166288864802,0.275826673215648,0.328236637799041,0.840328718528122,0.400724103558089,0.720629847446558
"NODE_1_length_85347_cov_16.578410_39",5.64662807803115,0.656863663396813,0.963036183314188,0.682075787782226,0.495191029666796,0.788995634627937
"NODE_1_length_85347_cov_16.578410_40",17.0395744928216,0.479198063677596,0.583486919989508,0.821266162549475,0.411494677218041,0.727719401080013
"NODE_1_length_85347_cov_16.578410_41",22.1482461038833,0.248990500676039,0.541866257801225,0.459505453774495,0.64587123654382,0.86050636523478
"NODE_1_length_85347_cov_16.578410_42",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_43",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_44",10.797172233375,-1.80327035500457,0.774233336784562,-2.32910450807202,0.0198535299315632,0.110770274183635
"NODE_1_length_85347_cov_16.578410_45",0,NA,NA,NA,NA,NA
"NODE_1_length_85347_cov_16.578410_46",7.45758427542767,-0.853339053991856,1.09211140147682,-0.781366308270307,0.434587081015246,0.746268471857493
"NODE_1_length_85347_cov_16.578410_47",5.44323153854962,2.10112951892364,1.05082111080421,1.99951209327686,0.0455529747191509,0.19790667698529
"NODE_1_length_85347_cov_16.578410_48",14.6406645270079,-1.25429981979274,0.615359307004937,-2.03832103539254,0.041517837530567,0.187883823035414
"NODE_1_length_85347_cov_16.578410_49",0.963391428726868,3.37520706848174,2.496135063347,1.35217325297935,0.176319897953308,NA
"NODE_1_length_85347_cov_16.578410_50",4.62985490033792,2.51885250286535,1.18327165666968,2.12871870011209,0.0332775407347449,0.160874858070077
"NODE_1_length_85347_cov_16.578410_51",7.8061914689033,1.91840475198705,1.02996020872757,1.86260084198503,0.0625184458082887,0.244935977678527
"NODE_1_length_85347_cov_16.578410_52",33.391695227472,0.20985608110763,0.412011110196252,0.5093456848959,0.610509940789464,0.849596926272043
"NODE_1_length_85347_cov_16.578410_53",4.43956316867018,-1.20536041464589,1.17037609553099,-1.02989151884465,0.303060932462275,0.630340557151556
"NODE_1_length_85347_cov_16.578410_54",13.6141687758937,-0.119216745489549,0.720544879877321,-0.165453601599177,0.86858696699494,0.950143119381582
"NODE_1_length_85347_cov_16.578410_55",15.9816091755665,-0.352951194542925,0.623772532360502,-0.565833178333895,0.571507189797522,0.834034084513685
"NODE_1_length_85347_cov_16.578410_56",6.86154924628123,1.07639410974841,0.891803332997104,1.20698596867871,0.22743754767649,0.54240306689564
"NODE_1_length_85347_cov_16.578410_57",2.39497297973277,0.831025213792581,1.5609043691864,0.532399825509966,0.594449106007895,0.842174716532785
"NODE_1_length_85347_cov_16.578410_58",0.832124597825196,1.85594794489954,2.69285676562194,0.689211534974046,0.490690158928646,NA
"NODE_1_length_85347_cov_16.578410_59",5.30727522908334,-0.606257843547395,0.97636332770724,-0.620934672926572,0.534642606620418,0.815427352194271
"NODE_1_length_85347_cov_16.578410_60",3.38155661639418,1.17736201048528,1.42843282258272,0.824233377917285,0.40980696505344,0.726738373189357
"NODE_1_length_85347_cov_16.578410_61",6.26443447370429,-0.490160922263275,0.963580842794344,-0.508686869325701,0.610971727667169,0.849937139239586
"NODE_1_length_85347_cov_16.578410_62",3.19744578385895,-0.209970641937907,1.38235294498655,-0.151893655451321,0.879270812447674,0.955442911083878
"NODE_1_length_85347_cov_16.578410_63",23.3980713950092,-0.572138741535911,0.470370108940161,-1.2163586304943,0.223848335910792,0.536767797515172
"NODE_1_length_85347_cov_16.578410_64",25.0271332402416,-0.247553680529956,0.473350551301134,-0.522981709537438,0.600986981557801,0.845614778164258
"NODE_1_length_85347_cov_16.578410_65",4.54681271716106,0.058838486051274,1.14441893949081,0.0514134151584848,0.958996095160758,0.985396115706157
"NODE_1_length_85347_cov_16.578410_66",7.7054421330486,-0.0564782466579245,0.836201083158904,-0.0675414655582214,0.946150652629928,0.980887803125072
"NODE_2_length_26201_cov_35.941625_1",19.5910481959001,0.0637178172286399,0.582601796915569,0.109367697741368,0.9129108534954,0.968421625816337
"NODE_2_length_26201_cov_35.941625_2",0,NA,NA,NA,NA,NA
"NODE_2_length_26201_cov_35.941625_3",81.6523410952702,0.202480873379204,0.27840707227737,0.727283512314936,0.467052296218649,0.766742859288373
"NODE_2_length_26201_cov_35.941625_4",149.171620357194,0.0963241942066084,0.252465406581339,0.381534228831365,0.702806877553145,0.891233899241083
"NODE_2_length_26201_cov_35.941625_5",1.86689018696849,-0.862882549626027,1.66804694314556,-0.517301118635682,0.604945973293182,0.847487594241102
