Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES1_R1	ES1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22496069.0	3.3 Gbp	0.0	150.0	42.0	44.959840535746636	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	pass
ES1_R2	ES1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22496069.0	3.3 Gbp	0.0	150.0	42.0	45.40704123206172	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
ES2_R1	ES2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22602226.0	3.3 Gbp	0.0	150.0	42.0	45.007571720562886	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
ES2_R2	ES2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22602226.0	3.3 Gbp	0.0	150.0	42.0	45.645115599547104	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
ES3_R1	ES3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24487264.0	3.6 Gbp	0.0	150.0	42.0	43.97187065146496	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
ES3_R2	ES3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24487264.0	3.6 Gbp	0.0	150.0	42.0	44.52518712301822	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
LS1_R1	LS1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24678203.0	3.7 Gbp	0.0	150.0	42.0	42.19688907667041	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
LS1_R2	LS1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24678203.0	3.7 Gbp	0.0	150.0	42.0	42.795808766258745	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
LS2_R1	LS2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22079970.0	3.3 Gbp	0.0	150.0	42.0	43.68124699621617	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
LS2_R2	LS2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22079970.0	3.3 Gbp	0.0	150.0	42.0	44.14593247969809	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
LS3_R1	LS3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23102586.0	3.4 Gbp	0.0	150.0	43.0	43.2019229321142	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
LS3_R2	LS3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23102586.0	3.4 Gbp	0.0	150.0	43.0	43.834046361648085	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
