UniqueCount	AmbigCount
0	0
130	0
80	0
1	0
0	0
21	0
32	0
18	0
7	0
3	0
18	0
13	0
11	0
12	0
0	0
11	0
0	0
73	1
70	1
10	0
3	0
59	3
62	3
2	0
6	0
1	0
2	0
0	0
6	0
2	0
2	0
21	0
2	0
107	0
14	0
106	0
94	0
46	0
4	0
7	0
13	0
0	0
0	0
22	0
0	0
10	0
1	0
22	0
0	0
1	0
9	0
22	0
7	0
8	0
9	0
3	0
1	0
0	2
5	2
0	0
11	0
3	0
34	2
33	2
1	0
7	4
10	0
0	0
56	0
95	0
1	0
0	0
4	0
80	0
4	0
6	0
0	0
26	0
2	0
14	4
0	0
0	0
51	0
2	0
7	0
5	0
4	0
1	0
9	0
3	0
4	0
14	0
28	0
146	0
6	0
19	0
21	0
12	0
119	0
414	5
0	0
0	0
187	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
68	0
0	0
6	0
0	0
49	0
2	0
0	0
8	0
13	0
3	0
59	0
0	0
29	0
417	1
205	1
397	0
72	0
1473	0
219	0
2	0
8	0
6	0
14	0
10	0
0	0
9	0
10	0
161	0
36	0
112	0
32	0
0	0
287	21
2065	21
820	0
87	1
160	1
2	0
0	0
0	0
0	0
0	0
2	0
0	0
89	0
0	0
759	0
23	0
530	0
84	0
1	0
10	0
223	0
267	0
2	0
28	0
11	0
31	0
4	0
0	0
74	0
61	0
0	0
0	0
18	0
0	0
0	0
3	0
0	0
0	0
78	0
7	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
163	0
0	0
0	0
4	0
0	0
5	0
0	0
28	0
0	0
0	0
0	0
3	0
2	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
17	0
19	0
710	0
184	2
19	0
13	0
3	0
8	0
0	0
3	0
0	0
65	0
12	1
399	0
182	0
87	0
0	0
5	0
3	0
0	0
64	0
2	0
1	0
9	0
0	0
3	0
11	0
0	0
95	0
271	0
0	0
205	1
4	0
15	1
4	0
96	0
85	0
2	0
3	0
0	0
0	0
0	0
2	0
0	0
3	0
0	0
1106	0
650	17
1532	17
103	0
1560	0
0	0
0	0
13	0
48	0
332	0
2	0
73	0
174	4
1	0
0	0
0	0
0	0
54	0
110	0
0	0
1	0
7	0
0	0
1	0
0	0
0	0
20	0
57	0
31	0
2	0
2	0
14	0
1	0
37	0
27	0
426	0
14	0
554	0
904	0
28	0
4	0
18	0
27	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1166	1
7	0
1217	1
0	0
8	0
85	0
3	0
14	0
4	0
55	3
415	1
6	0
233	1
0	0
60	1
4	1
0	0
25	0
92	0
114	0
17	0
0	0
0	0
5	0
3	0
31	0
12	0
8	0
4	0
112	0
0	0
228	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
3	0
12	0
3	0
7	0
0	0
5	0
0	0
12	0
70	0
0	0
19	0
19	0
12727	15
