UniqueCount	AmbigCount
0	0
151	0
112	0
0	0
0	0
14	0
60	0
11	0
0	0
14	0
22	0
11	0
10	0
8	0
2	0
5	0
1	0
77	1
95	1
10	0
5	0
77	4
76	4
2	0
10	0
2	0
4	0
0	0
6	0
0	0
1	0
1	0
8	0
93	0
16	4
111	4
71	0
46	0
8	0
18	0
12	0
0	0
0	0
3	0
0	0
0	0
10	0
9	0
2	0
8	0
5	0
31	0
2	0
7	0
9	0
7	0
4	0
0	0
4	0
3	0
1	0
0	0
16	1
16	1
3	0
3	0
13	0
0	0
79	0
123	0
2	0
0	0
3	0
69	0
13	0
5	0
0	0
37	0
3	0
17	0
0	0
0	0
47	0
4	0
3	0
1	0
0	0
0	0
0	0
0	0
5	0
15	0
14	0
69	0
3	0
12	0
5	0
4	0
28	0
464	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	0
0	0
10	0
0	0
3	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
8	0
125	0
58	0
63	0
97	0
1119	0
117	0
1	0
2	0
8	0
55	0
37	0
0	0
0	0
1	0
310	2
30	0
74	0
10	0
0	0
143	4
1360	14
583	8
60	1
166	1
0	0
0	0
0	0
1	0
0	0
0	0
2	0
45	0
0	0
200	0
3	0
435	0
17	0
0	0
17	0
416	1
188	0
3	0
24	0
11	0
38	0
0	0
0	0
21	0
18	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
69	0
7	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
102	0
0	0
0	0
6	0
1	0
1	0
0	0
16	0
0	0
2	0
0	0
2	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
14	0
37	0
39	0
26	0
23	0
0	0
0	0
0	0
0	0
0	0
89	0
0	0
353	0
182	0
47	2
1	0
1	0
0	0
0	0
46	0
2	0
0	0
3	0
0	0
1	0
0	0
0	0
30	0
322	0
0	0
59	0
0	0
4	0
145	0
293	0
58	0
0	0
0	0
0	0
4	0
1	0
8	0
0	0
6	0
0	0
1181	0
468	17
811	17
33	0
574	0
0	0
0	0
19	0
71	0
326	0
3	0
85	0
97	4
1	0
0	0
3	0
0	0
33	0
76	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
35	0
23	0
156	0
2	0
0	0
16	0
4	0
19	0
15	0
638	0
58	0
450	0
886	0
5	0
1	0
5	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1635	8
9	0
1800	6
0	0
0	1
62	0
6	0
21	0
3	0
70	0
390	0
1	0
150	0
0	0
7	0
16	0
0	0
37	0
108	0
56	0
15	0
0	0
0	0
16	0
5	0
13	0
11	0
9	0
4	0
35	0
0	0
177	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
28	0
81	0
45	0
40	0
10	0
13	0
0	0
9	0
135	0
0	0
29	0
8	0
6911	4
0	0
132	0
0	0
0	0
0	0
0	0
0	0
34	0
25	0
0	0
69	0
33	0
12	0
264	0
1	0
46	0
2	0
0	0
0	0
5	0
0	0
2	0
0	0
1	0
2	0
0	0
1	0
7	0
6	0
4	0
4	0
114	0
77	0
21	0
0	0
4	0
23	0
13	0
4	0
0	0
15	0
22	0
5	0
1	0
0	0
0	0
538	1
405	89
2823	111
2101	22
1	0
8	0
15	0
0	0
0	0
2	0
0	0
0	0
2	0
0	0
0	0
31	0
24	0
24	0
9	0
17	0
0	0
2	0
14	0
0	0
130	0
1129	0
61	3
14	0
121	1
850	1
32	0
16	0
0	0
0	0
2	0
1	0
0	0
4	0
0	0
44	0
14	0
0	0
3	0
0	0
0	0
16	0
49	0
27	0
0	0
0	0
2	1
38	3
50	3
28	0
0	0
0	0
0	0
0	0
4	0
1	0
0	1
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
112	0
0	0
1	0
2	0
2	0
5	0
14	0
190	0
0	0
0	0
9	0
58	7
71	7
1123	0
395	0
0	0
7	0
0	0
3	0
0	0
0	0
7	0
5	0
0	0
0	0
180	0
218	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
7449	1
0	0
0	0
0	0
0	0
0	0
5	0
0	0
17	0
20	0
10	0
0	0
0	0
0	0
2	0
0	0
0	0
3	0
0	0
25	0
70	0
0	0
1	0
0	0
1235	0
2	0
14	0
26	0
5	0
0	0
0	0
0	0
0	0
43	0
0	0
17	1
1	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	0
30	0
17	0
0	0
1	0
0	0
0	0
5	0
7	0
110	0
18	0
24	0
0	0
1	0
39	0
90	0
0	0
0	0
1	0
0	0
0	0
13	0
0	0
10	0
0	0
0	0
1	0
76	0
36	0
8	0
0	0
30	0
0	0
14	0
32	0
1	0
19	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	0
2	0
2	0
7	0
31	0
0	0
0	0
42	0
24	0
0	0
1	0
0	0
72	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
8	0
0	0
0	0
0	0
0	0
40	0
1	0
6	0
2	0
4	0
145	0
0	0
0	0
0	0
2	0
0	0
0	0
17	0
0	0
7	0
0	0
5	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
4	0
6	0
3	0
8	0
67	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
25	0
10	0
1	0
0	0
0	0
1	0
6	0
0	0
5	0
1	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
3	0
26	0
1	0
0	0
12	0
3	0
6	0
1	0
11	0
17	0
20	0
0	0
10	0
76	0
0	0
11	0
69	0
6	0
8	0
0	0
204	0
0	0
5	0
14	0
3	0
3	0
0	0
0	0
5	0
7	0
1	0
1	0
26	0
0	0
0	0
69	0
4	0
0	0
0	0
0	0
0	0
4	0
1	0
19	0
3	0
2	0
0	0
2	0
0	0
3	0
14	0
2	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
2	0
3	0
0	0
0	0
33	0
0	0
0	0
60	0
15	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
3	0
0	0
20	0
7	0
0	0
82	0
78	0
111	0
2	0
16	1
46	2
4	0
63	0
0	0
0	0
0	0
2	0
35	0
54	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
11	0
0	0
0	0
38	0
14	0
0	0
0	0
82	0
5	0
0	0
25	0
0	0
35	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
474	0
1	0
6	0
0	0
43	0
0	0
27	0
9	0
0	0
0	0
8	0
76	0
0	0
0	0
3	0
0	0
14	0
0	0
0	0
0	0
8	0
8	0
59	0
1	0
17	0
0	0
0	0
8	0
0	0
0	0
0	0
3	0
0	0
5	0
0	0
0	0
2	0
0	0
0	0
0	0
