"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_3_length_17292_cov_16.853993_12",108.19041221132,-1.03902260008847,0.233956164239708,-4.44109948316601,8.95004033705197e-06,0.000203275680296723
"NODE_4_length_10523_cov_3.619854_3",14.8633645304895,-1.94987783456755,0.634909120937871,-3.07111328261789,0.00213262222077792,0.0195220075913416
"NODE_4_length_10523_cov_3.619854_5",64.91955251006,-2.06744424313416,0.30948970702429,-6.68017125032173,2.38663193375362e-11,1.49241983909398e-09
"NODE_5_length_10358_cov_3.958082_3",110.463826086425,-4.57495877364123,0.356454098665141,-12.8346364672861,1.04894179543986e-37,3.60761053217353e-35
"NODE_7_length_9282_cov_1.796632_1",19.7698499076662,-5.32464138781475,0.983917111254174,-5.41167678345136,6.2437311983657e-08,2.3125819784716e-06
"NODE_7_length_9282_cov_1.796632_4",5.9332301372485,-5.04453930894698,1.47148925093007,-3.42818631244404,0.00060762829654518,0.0069494780234324
"NODE_7_length_9282_cov_1.796632_5",11.7314360030885,-5.13040214700672,1.21234828376189,-4.23178901287934,2.3183983967916e-05,0.000446523531222061
"NODE_7_length_9282_cov_1.796632_7",24.5389750383099,-7.10898825387965,1.25671951199866,-5.65678195174486,1.54237508483421e-08,6.57215578183781e-07
"NODE_8_length_8928_cov_2.791441_1",15.544636998856,-2.0112249024073,0.628380414609797,-3.20064861292057,0.00137118638255148,0.0133379039030007
"NODE_8_length_8928_cov_2.791441_2",238.053830164658,-2.00760699696805,0.184125841315183,-10.9034505022653,1.10967692064219e-27,2.67154718644606e-25
"NODE_8_length_8928_cov_2.791441_3",120.997078976073,-2.01923641140706,0.234712293246184,-8.60302791762651,7.76400805920334e-18,1.06810568014469e-15
"NODE_8_length_8928_cov_2.791441_4",219.491380926592,-2.64600033160111,0.1775004775212,-14.9070040179755,2.96772954568839e-50,1.7862022203112e-47
"NODE_9_length_7780_cov_5.665844_2",26.3584452014805,1.62686697906237,0.477817599466446,3.4047866400882,0.000662157668429611,0.00746861911600485
"NODE_13_length_6876_cov_4.414473_3",426.099222530458,-1.82888138883953,0.126902647268984,-14.4116882365978,4.36898822144922e-47,2.33740869847534e-44
"NODE_13_length_6876_cov_4.414473_4",9.66096985348685,-3.41746621035309,0.943187407691163,-3.62331619621464,0.000290849908192711,0.00379523660690489
"NODE_14_length_6779_cov_6.132309_2",40.8921897372129,-2.08395674815312,0.391843988355218,-5.31833283164714,1.04722373535158e-07,3.5761576494453e-06
"NODE_15_length_6718_cov_2.778196_2",307.63708502122,1.00014248647985,0.145851601037008,6.85726093761611,7.01933502366982e-12,4.97030854984856e-10
"NODE_21_length_6299_cov_2.878252_2",120.410579744132,-1.17086475551485,0.24314805387408,-4.81543955157957,1.46876222069055e-06,3.95088831990224e-05
"NODE_25_length_5773_cov_1.666081_4",355.882972736946,-4.72800305118509,0.201341218162891,-23.482539215393,6.15154665988463e-122,2.96196971673445e-118
"NODE_25_length_5773_cov_1.666081_5",124.111191793826,-2.29970157189313,0.247891883218237,-9.2770345766769,1.74260928446534e-20,2.99666560882165e-18
"NODE_27_length_5563_cov_1.154575_2",7.38404683453528,-3.0816378423838,1.07980136932274,-2.85389325290135,0.00431870400531551,0.0346575996426569
"NODE_30_length_5058_cov_4.664863_1",72.9248371704954,-1.2167633139908,0.291636067763395,-4.17219764112978,3.01675780292853e-05,0.000550987620024825
"NODE_32_length_4886_cov_0.993145_7",3.31940044210239,-5.20444084479836,1.69962058550494,-3.06211921012487,0.00219775906808015,0.0199288322275064
"NODE_34_length_4839_cov_2.183746_1",123.544024145904,-1.54033703692944,0.221478338022821,-6.95479770473414,3.53068303828112e-12,2.61542135835748e-10
"NODE_35_length_4801_cov_1.576630_1",62.1578055615222,3.01082376578099,0.407891444427254,7.38143397444553,1.56593667942947e-13,1.39629353915795e-11
"NODE_35_length_4801_cov_1.576630_2",184.388422861626,1.57040978847339,0.181004187241321,8.67609646167837,4.09584794631737e-18,5.8004434886818e-16
"NODE_40_length_4430_cov_4.451309_2",1108.0466046805,-1.01485004198447,0.0910864635931805,-11.141612067816,7.8682061271987e-29,2.10474513902565e-26
"NODE_40_length_4430_cov_4.451309_3",63.1079330230934,-1.32762804831416,0.304014292851849,-4.36699220901807,1.25969218996301e-05,0.000268381322773093
"NODE_40_length_4430_cov_4.451309_4",1065.34850668704,-1.39594359962121,0.0837270142421525,-16.6725591764673,2.07516319806354e-62,1.99838215973519e-59
"NODE_45_length_4356_cov_2.722092_2",86.938185983279,-1.04987160181941,0.274399374425106,-3.8260714114928,0.000130204532955466,0.00191138666518465
"NODE_47_length_4226_cov_7.874518_1",85.0322076465712,1.94652216210668,0.280331943009216,6.94363311298665,3.82142184320747e-12,2.74629047388716e-10
"NODE_52_length_4099_cov_1.170144_1",26.7869216725812,-1.7239738117847,0.518367814323096,-3.32577325240752,0.000881736260826441,0.00937209734189694
"NODE_52_length_4099_cov_1.170144_3",9.50251988884691,-3.40069000797638,0.998817183107419,-3.40471716495354,0.000662326139674781,0.00746861911600485
"NODE_52_length_4099_cov_1.170144_4",13.8183333642511,-2.45850583996054,0.710049717886583,-3.4624418234798,0.000535297625272721,0.00622574412001969
"NODE_58_length_3903_cov_1.302119_1",24.0379270619588,-2.92262016993841,0.564648748631065,-5.17599689545761,2.26697226018305e-07,7.08796846284507e-06
