#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_1_length_85347_cov_16.578410_2	4577.GRMZM2G469277_P01	2.84E-39	135	"28XH6@1|root,2R4A9@2759|Eukaryota,3857R@33090|Viridiplantae,3GT70@35493|Streptophyta,3M9X6@4447|Liliopsida,3IR24@38820|Poales"	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_1_length_85347_cov_16.578410_3	3702.ATCG00270.1	1.20E-264	723	"2CNIT@1|root,2QWJF@2759|Eukaryota,37RZQ@33090|Viridiplantae,3GF68@35493|Streptophyta"	35493|Streptophyta	C	"Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex"	psbD	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0010287,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035"	1.10.3.9	ko:K02706	"ko00195,ko01100,map00195,map01100"	M00161	-	-	"ko00000,ko00001,ko00002,ko00194,ko01000"	-	-	-	Photo_RC
NODE_1_length_85347_cov_16.578410_4	4572.TRIUR3_00075-P1	0	964	"28ISP@1|root,2QR3X@2759|Eukaryota,37T53@33090|Viridiplantae,3G7SE@35493|Streptophyta,3KP6W@4447|Liliopsida,3IG0F@38820|Poales"	35493|Streptophyta	C	"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation"	psbC	-	-	ko:K02705	"ko00195,ko01100,map00195,map01100"	M00161	-	-	"ko00000,ko00001,ko00002,ko00194"	-	-	-	PSII
NODE_1_length_85347_cov_16.578410_5	13333.ERN02871	0	947	"COG1850@1|root,2QTI9@2759|Eukaryota,37HQX@33090|Viridiplantae,3GDC3@35493|Streptophyta"	35493|Streptophyta	G	"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site"	-	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"	4.1.1.39	ko:K01601	"ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200"	"M00165,M00166,M00532"	"R00024,R03140"	"RC00172,RC00859"	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"RuBisCO_large,RuBisCO_large_N"
NODE_1_length_85347_cov_16.578410_6	4081.Solyc01g007340.2.1	2.78E-254	710	"COG4799@1|root,KOG0540@2759|Eukaryota,37NPW@33090|Viridiplantae,3GG0Z@35493|Streptophyta,44QTN@71274|asterids"	35493|Streptophyta	H	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	accD	-	"2.1.3.15,6.4.1.2"	"ko:K01963,ko:K02696"	"ko00061,ko00195,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00195,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212"	"M00082,M00376"	"R00742,R04386"	"RC00040,RC00253,RC00367"	"ko00000,ko00001,ko00002,ko00194,ko01000"	-	-	-	"Carboxyl_trans,PSI_8"
NODE_1_length_85347_cov_16.578410_7	4081.Solyc01g007360.2.1	3.78E-120	344	"2CNI2@1|root,2QWGG@2759|Eukaryota,37P4I@33090|Viridiplantae,3GGGH@35493|Streptophyta,44MN2@71274|asterids"	35493|Streptophyta	S	Ycf4	ycf4	"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0015979,GO:0016043,GO:0019684,GO:0022607,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0048564,GO:0051082,GO:0065003,GO:0071840"	-	-	-	-	-	-	-	-	-	-	Ycf4
NODE_1_length_85347_cov_16.578410_8	218851.Aquca_064_00076.1	7.98E-132	377	"28IB5@1|root,2QV51@2759|Eukaryota,37SP0@33090|Viridiplantae,3GHPJ@35493|Streptophyta"	35493|Streptophyta	U	May be involved in proton extrusion. Indirectly promotes efficient inorganic carbon uptake	cemA	-	-	-	-	-	-	-	-	-	-	-	CemA
NODE_1_length_85347_cov_16.578410_9	13333.ERN02870	1.26E-202	564	"2CMAK@1|root,2QPT8@2759|Eukaryota,37MKA@33090|Viridiplantae,3GD5I@35493|Streptophyta"	35493|Streptophyta	C	"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions"	petA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"	-	ko:K02634	"ko00195,ko01100,map00195,map01100"	M00162	-	-	"ko00000,ko00001,ko00002,ko00194"	-	-	-	"Apocytochr_F_C,Apocytochr_F_N,CemA"
NODE_1_length_85347_cov_16.578410_10	29730.Gorai.010G129700.1	1.10E-52	167	"KOG3162@1|root,KOG3162@2759|Eukaryota,37WM8@33090|Viridiplantae,3GJCQ@35493|Streptophyta"	35493|Streptophyta	J	"30S ribosomal protein S18, chloroplastic"	rps18	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02963	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_S18
NODE_1_length_85347_cov_16.578410_11	218851.Aquca_044_00093.1	0	1048	"28JG1@1|root,2QRV6@2759|Eukaryota,37HEX@33090|Viridiplantae,3GE8P@35493|Streptophyta"	35493|Streptophyta	S	"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation"	psbB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010207,GO:0010287,GO:0015979,GO:0016020,GO:0016043,GO:0019684,GO:0022607,GO:0031976,GO:0031984,GO:0034357,GO:0034622,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035,GO:0065003,GO:0071840"	-	ko:K02704	"ko00195,ko01100,map00195,map01100"	M00161	-	-	"ko00000,ko00001,ko00002,ko00194"	-	-	-	PSII
